
> admin_web@0.1.0 dev
> next dev

▲ Next.js 16.2.11 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://169.254.0.21:3000
- Environments: .env
✓ Ready in 675ms
⚠ Warning: Next.js inferred your workspace root, but it may not be correct.
 We detected multiple lockfiles and selected the directory of /home/user/package-lock.json as the root directory.
 To silence this warning, set `turbopack.root` in your Next.js config, or consider removing one of the lockfiles if it's not needed.
   See https://nextjs.org/docs/app/api-reference/config/next-config-js/turbopack#root-directory for more information.
 Detected additional lockfiles: 
   * /home/user/admin_web/package-lock.json


 GET /api/public/pass/status?userId=1 200 in 16ms (next.js: 5ms, application-code: 11ms)
 GET /api/public/wallet?userId=1 200 in 20ms (next.js: 4ms, application-code: 15ms)
 GET /api/public/wallet?userId=1 200 in 20ms (next.js: 5ms, application-code: 15ms)
 GET /api/public/wallet?userId=1 200 in 23ms (next.js: 5ms, application-code: 18ms)
 GET /api/public/intro-config 200 in 22ms (next.js: 5ms, application-code: 16ms)
 GET /api/public/notifications?userId=1&limit=50 200 in 43ms (next.js: 30ms, application-code: 13ms)
 GET /api/public/wallet?userId=1 200 in 51ms (next.js: 45ms, application-code: 6ms)
 GET /api/public/attendance/status?userId=1 200 in 39ms (next.js: 32ms, application-code: 7ms)
 GET /api/public/page-configs/home 200 in 31ms (next.js: 19ms, application-code: 12ms)
 GET /api/public/healing-quotes 200 in 33ms (next.js: 26ms, application-code: 7ms)
 GET /api/public/pass/policies 200 in 23ms (next.js: 14ms, application-code: 9ms)
 GET /api/public/wallet?userId=1 200 in 22ms (next.js: 14ms, application-code: 8ms)
 GET /api/public/wishes/my 401 in 29ms (next.js: 24ms, application-code: 5ms)
 GET /api/public/attendance/status?userId=1 200 in 23ms (next.js: 19ms, application-code: 4ms)
 GET /api/public/pass/policies 200 in 10ms (next.js: 3ms, application-code: 7ms)
 GET /api/public/wallet?userId=1 200 in 17ms (next.js: 11ms, application-code: 7ms)
 GET /api/public/pass/status?userId=1 200 in 12ms (next.js: 4ms, application-code: 9ms)
 GET /api/public/wallet?userId=1 200 in 26ms (next.js: 13ms, application-code: 13ms)
 GET /api/public/pass/status?userId=1 200 in 11ms (next.js: 3ms, application-code: 7ms)
 GET /api/public/wallet?userId=1 200 in 27ms (next.js: 18ms, application-code: 9ms)
 GET /api/public/wallet?userId=1 200 in 13ms (next.js: 3ms, application-code: 10ms)
 GET /api/public/intro-config 200 in 33ms (next.js: 4ms, application-code: 29ms)
 GET /api/public/wishes?userId=1&scope=mine 200 in 25ms (next.js: 5ms, application-code: 20ms)
 GET / 307 in 135ms (next.js: 9ms, application-code: 126ms)
 GET /api/public/wishes?userId=1&scope=mine 200 in 25ms (next.js: 5ms, application-code: 19ms)
 GET /api/public/wishes?userId=1&scope=mine 200 in 26ms (next.js: 8ms, application-code: 18ms)
 GET /api/public/attendance/status?userId=48 200 in 17ms (next.js: 4ms, application-code: 13ms)
 GET /api/public/wishes/my 401 in 29ms (next.js: 23ms, application-code: 6ms)
 GET /api/public/pass/policies 200 in 24ms (next.js: 15ms, application-code: 9ms)
